oln_id_a	oln_id_b	edge_type
YAL021C	YDL192W	genetic_interaction
YAL021C	YDR363W-A	genetic_interaction
YAL021C	YGR261C	genetic_interaction
YAL021C	YGR292W	genetic_interaction
YAL021C	YJL124C	genetic_interaction
YAL021C	YJL024C	genetic_interaction
YAL021C	YJR011C	genetic_interaction
YAL021C	YLR360W	genetic_interaction
YAL021C	YMR316W	genetic_interaction
YAL021C	YNR004W	genetic_interaction
YAL021C	YOL006C	genetic_interaction
YAL021C	YOR327C	genetic_interaction
YAL021C	YPL195W	genetic_interaction
YAL021C	YPL120W	genetic_interaction
YAL020C	YBL072C	genetic_interaction
YAL020C	YBL071C	genetic_interaction
YAL020C	YBR036C	genetic_interaction
YAL020C	YBR200W	genetic_interaction
YAL020C	YBR266C	genetic_interaction
YAL020C	YCL032W	genetic_interaction
YAL020C	YCR009C	genetic_interaction
YAL020C	YCR053W	genetic_interaction
YAL020C	YCR086W	genetic_interaction
YAL020C	YDL081C	genetic_interaction
YAL020C	YDL006W	genetic_interaction
YAL020C	YDR092W	genetic_interaction
YAL020C	YDR146C	genetic_interaction
YAL020C	YDR149C	genetic_interaction
YAL020C	YDR159W	genetic_interaction
YAL020C	YDR162C	genetic_interaction
YAL020C	YDR247W	genetic_interaction
YAL020C	YFL007W	genetic_interaction
YAL020C	YFL001W	genetic_interaction
YAL020C	YFR009W	genetic_interaction
YAL020C	YGL148W	genetic_interaction
YAL020C	YGL031C	genetic_interaction
YAL020C	YHR111W	genetic_interaction
YAL020C	YIL076W	genetic_interaction
YAL020C	YIL043C	genetic_interaction
YAL020C	YKL212W	genetic_interaction
YAL020C	YKL081W	genetic_interaction
YAL020C	YKL069W	genetic_interaction
YAL020C	YLR048W	genetic_interaction
YAL020C	YLR371W	genetic_interaction
YAL020C	YMR073C	genetic_interaction
YAL020C	YMR116C	genetic_interaction
YAL020C	YNL079C	genetic_interaction
YAL020C	YNL076W	genetic_interaction
YAL020C	YOR246C	genetic_interaction
YAL020C	YOR269W	genetic_interaction
YAL020C	YOR271C	genetic_interaction
YAL020C	YOR298C-A	genetic_interaction
YAL020C	YOR314W	genetic_interaction
YAL020C	YOR317W	genetic_interaction
YAL020C	YOR349W	genetic_interaction
YAL020C	YOR352W	genetic_interaction
YAL020C	YOR381W	genetic_interaction
YAL020C	YPL250C	genetic_interaction
YAL020C	YPL245W	genetic_interaction
YAL020C	YPL244C	genetic_interaction
YAL020C	YPL230W	genetic_interaction
YAL020C	YPL206C	genetic_interaction
YAL020C	YPL185W	genetic_interaction
YAL020C	YPL170W	genetic_interaction
YAL020C	YPL162C	genetic_interaction
YAL020C	YPL161C	genetic_interaction
YAL020C	YPL158C	genetic_interaction
YAL020C	YPL149W	genetic_interaction
YAL020C	YPL138C	genetic_interaction
YAL020C	YPL121C	genetic_interaction
YAL020C	YPL103C	genetic_interaction
YAL020C	YPL067C	genetic_interaction
YAL020C	YPL056C	genetic_interaction
YAL020C	YPR093C	genetic_interaction
YAL013W	YBL103C	genetic_interaction
YAL013W	YBL102W	genetic_interaction
YAL013W	YBL098W	genetic_interaction
YAL013W	YBL091C	genetic_interaction
YAL013W	YBL067C	genetic_interaction
YAL013W	YBL066C	genetic_interaction
YAL013W	YBL013W	genetic_interaction
YAL013W	YBR009C	genetic_interaction
YAL013W	YBR010W	genetic_interaction
YAL013W	YBR025C	genetic_interaction
YAL013W	YBR057C	genetic_interaction
YAL013W	YBR074W	genetic_interaction
YAL013W	YBR084W	genetic_interaction
YAL013W	YBR103W	genetic_interaction
YAL013W	YBR171W	genetic_interaction
YAL013W	YBR174C	genetic_interaction
YAL013W	YBR175W	genetic_interaction
YAL013W	YBR176W	genetic_interaction
YAL013W	YBR216C	genetic_interaction
YAL013W	YBR218C	genetic_interaction
YAL013W	YBR221C	genetic_interaction
YAL013W	YBR224W	genetic_interaction
YAL013W	YBR227C	genetic_interaction
YAL013W	YBR231C	genetic_interaction
YAL013W	YBR238C	genetic_interaction
YAL013W	YBR255W	genetic_interaction
YAL013W	YBR258C	genetic_interaction
YAL013W	YBR281C	genetic_interaction
YAL013W	YBR288C	genetic_interaction
YAL013W	YBR292C	genetic_interaction
YAL013W	YCL032W	genetic_interaction
YAL013W	YCL010C	genetic_interaction
YAL013W	YCR020C-A	genetic_interaction
YAL013W	YCR031C	genetic_interaction
YAL013W	YCR033W	genetic_interaction
YAL013W	YCR034W	genetic_interaction
YAL013W	YCR043C	genetic_interaction
YAL013W	YCR044C	genetic_interaction
YAL013W	YCR062W	genetic_interaction
YAL013W	YCR063W	genetic_interaction
YAL013W	YCR068W	genetic_interaction
YAL013W	YCR079W	genetic_interaction
YAL013W	YCR086W	genetic_interaction
YAL013W	YDL215C	genetic_interaction
YAL013W	YDL192W	genetic_interaction
YAL013W	YDL190C	genetic_interaction
YAL013W	YDL175C	genetic_interaction
YAL013W	YDL162C	genetic_interaction
YAL013W	YDL161W	genetic_interaction
YAL013W	YDL157C	genetic_interaction
YAL013W	YDL142C	genetic_interaction
YAL013W	YDL136W	genetic_interaction
YAL013W	YDL129W	genetic_interaction
YAL013W	YDL122W	genetic_interaction
YAL013W	YDL119C	genetic_interaction
YAL013W	YDL118W	genetic_interaction
YAL013W	YDL117W	genetic_interaction
YAL013W	YDL113C	genetic_interaction
YAL013W	YDL104C	genetic_interaction
YAL013W	YDL081C	genetic_interaction
YAL013W	YDL080C	genetic_interaction
YAL013W	YDL071C	genetic_interaction
YAL013W	YDL070W	genetic_interaction
YAL013W	YDL065C	genetic_interaction
YAL013W	YDL054C	genetic_interaction
YAL013W	YDL050C	genetic_interaction
YAL013W	YDL033C	genetic_interaction
YAL013W	YDR001C	genetic_interaction
YAL013W	YDR006C	genetic_interaction
YAL013W	YDR007W	genetic_interaction
YAL013W	YDR108W	genetic_interaction
YAL013W	YDR121W	genetic_interaction
YAL013W	YDR123C	genetic_interaction
YAL013W	YDR128W	genetic_interaction
YAL013W	YDR148C	genetic_interaction
YAL013W	YDR181C	genetic_interaction
YAL013W	YDR205W	genetic_interaction
YAL013W	YDR244W	genetic_interaction
YAL013W	YDR255C	genetic_interaction
YAL013W	YDR265W	genetic_interaction
YAL013W	YDR289C	genetic_interaction
YAL013W	YDR293C	genetic_interaction
YAL013W	YDR316W	genetic_interaction
YAL013W	YDR334W	genetic_interaction
YAL013W	YDR336W	genetic_interaction
YAL013W	YDR338C	genetic_interaction
YAL013W	YDR378C	genetic_interaction
YAL013W	YDR385W	genetic_interaction
YAL013W	YDR389W	genetic_interaction
YAL013W	YDR392W	genetic_interaction
YAL013W	YDR393W	genetic_interaction
YAL013W	YDR399W	genetic_interaction
YAL013W	YDR435C	genetic_interaction
YAL013W	YDR445C	genetic_interaction
YAL013W	YDR455C	genetic_interaction
YAL013W	YDR463W	genetic_interaction
YAL013W	YDR469W	genetic_interaction
YAL013W	YDR485C	genetic_interaction
YAL013W	YDR496C	genetic_interaction
YAL013W	YDR506C	genetic_interaction
YAL013W	YER063W	genetic_interaction
YAL013W	YER065C	genetic_interaction
YAL013W	YER066W	genetic_interaction
YAL013W	YER111C	genetic_interaction
YAL013W	YER124C	genetic_interaction
YAL013W	YER128W	genetic_interaction
YAL013W	YER134C	genetic_interaction
YAL013W	YER139C	genetic_interaction
YAL013W	YER150W	genetic_interaction
YAL013W	YER151C	genetic_interaction
YAL013W	YER153C	genetic_interaction
YAL013W	YER161C	genetic_interaction
YAL013W	YER164W	genetic_interaction
YAL013W	YER179W	genetic_interaction
YAL013W	YER181C	genetic_interaction
YAL013W	YFL049W	genetic_interaction
YAL013W	YFL036W	genetic_interaction
YAL013W	YFL032W	genetic_interaction
YAL013W	YFL023W	genetic_interaction
YAL013W	YFL014W	genetic_interaction
YAL013W	YFR010W	genetic_interaction
YAL013W	YFR013W	genetic_interaction
YAL013W	YFR048W	genetic_interaction
YAL013W	YGL257C	genetic_interaction
YAL013W	YGL253W	genetic_interaction
YAL013W	YGL252C	genetic_interaction
YAL013W	YGL241W	genetic_interaction
YAL013W	YGL227W	genetic_interaction
YAL013W	YGL226W	genetic_interaction
YAL013W	YGL222C	genetic_interaction
YAL013W	YGL217C	genetic_interaction
YAL013W	YGL215W	genetic_interaction
YAL013W	YGL211W	genetic_interaction
YAL013W	YGL203C	genetic_interaction
YAL013W	YGL195W	genetic_interaction
YAL013W	YGL194C	genetic_interaction
YAL013W	YGL165C	genetic_interaction
YAL013W	YGL162W	genetic_interaction
YAL013W	YGL149W	genetic_interaction
YAL013W	YGL133W	genetic_interaction
YAL013W	YGL121C	genetic_interaction
YAL013W	YGL024W	genetic_interaction
YAL013W	YGL015C	genetic_interaction
YAL013W	YGL013C	genetic_interaction
YAL013W	YGR011W	genetic_interaction
YAL013W	YGR023W	genetic_interaction
YAL013W	YGR027C	genetic_interaction
YAL013W	YGR028W	genetic_interaction
YAL013W	YGR038W	genetic_interaction
YAL013W	YGR039W	genetic_interaction
YAL013W	YGR072W	genetic_interaction
YAL013W	YGR077C	genetic_interaction
YAL013W	YGR092W	genetic_interaction
YAL013W	YGR101W	genetic_interaction
YAL013W	YGR105W	genetic_interaction
YAL013W	YGR110W	genetic_interaction
YAL013W	YGR153W	genetic_interaction
YAL013W	YGR174C	genetic_interaction
YAL013W	YGR181W	genetic_interaction
YAL013W	YGR182C	genetic_interaction
YAL013W	YGR183C	genetic_interaction
YAL013W	YGR200C	genetic_interaction
YAL013W	YGR231C	genetic_interaction
YAL013W	YGR238C	genetic_interaction
YAL013W	YGR248W	genetic_interaction
YAL013W	YGR270W	genetic_interaction
YAL013W	YHL045W	genetic_interaction
YAL013W	YHL023C	genetic_interaction
YAL013W	YHR043C	genetic_interaction
YAL013W	YHR111W	genetic_interaction
YAL013W	YHR133C	genetic_interaction
YAL013W	YHR146W	genetic_interaction
YAL013W	YHR151C	genetic_interaction
YAL013W	YHR178W	genetic_interaction
YAL013W	YHR180W	genetic_interaction
YAL013W	YHR200W	genetic_interaction
YAL013W	YHR203C	genetic_interaction
YAL013W	YIL152W	genetic_interaction
YAL013W	YIL112W	genetic_interaction
YAL013W	YIL098C	genetic_interaction
YAL013W	YIL084C	genetic_interaction
YAL013W	YIL077C	genetic_interaction
YAL013W	YIL040W	genetic_interaction
YAL013W	YIL007C	genetic_interaction
YAL013W	YIR002C	genetic_interaction
YAL013W	YIR005W	genetic_interaction
YAL013W	YJL201W	genetic_interaction
YAL013W	YJL183W	genetic_interaction
YAL013W	YJL169W	genetic_interaction
YAL013W	YJL168C	genetic_interaction
YAL013W	YJL165C	genetic_interaction
YAL013W	YJL163C	genetic_interaction
YAL013W	YJL124C	genetic_interaction
YAL013W	YJL095W	genetic_interaction
YAL013W	YJL077C	genetic_interaction
YAL013W	YJL036W	genetic_interaction
YAL013W	YJR020W	genetic_interaction
YAL013W	YJR043C	genetic_interaction
YAL013W	YJR074W	genetic_interaction
YAL013W	YJR087W	genetic_interaction
YAL013W	YJR088C	genetic_interaction
YAL013W	YJR095W	genetic_interaction
YAL013W	YJR097W	genetic_interaction
YAL013W	YJR133W	genetic_interaction
YAL013W	YJR140C	genetic_interaction
YAL013W	YKL222C	genetic_interaction
